number	latency	duration	channel	bvtime	bvmknum	type	code	urevent	epoch
94.000000	185572.000000	1.000000	0.000000		126.000000	S  6	Stimulus	126.000000	47.000000
95.000000	189001.000000	1.000000	0.000000		131.000000	S  2	Stimulus	131.000000	48.000000
96.000000	189604.000000	1.000000	0.000000		132.000000	S  6	Stimulus	132.000000	48.000000
97.000000	193001.000000	1.000000	0.000000		133.000000	S  1	Stimulus	133.000000	49.000000
98.000000	193751.000000	1.000000	0.000000		134.000000	S  4	Stimulus	134.000000	49.000000
99.000000	197001.000000	1.000000	0.000000		135.000000	S  2	Stimulus	135.000000	50.000000
100.000000	197623.000000	1.000000	0.000000		136.000000	S  6	Stimulus	136.000000	50.000000
101.000000	201001.000000	1.000000	0.000000		139.000000	S  2	Stimulus	139.000000	51.000000
102.000000	201534.000000	1.000000	0.000000		140.000000	S  6	Stimulus	140.000000	51.000000
103.000000	205001.000000	1.000000	0.000000		143.000000	S  2	Stimulus	143.000000	52.000000
104.000000	205577.000000	1.000000	0.000000		144.000000	S  6	Stimulus	144.000000	52.000000
105.000000	209001.000000	1.000000	0.000000		145.000000	S  1	Stimulus	145.000000	53.000000
106.000000	209749.000000	1.000000	0.000000		146.000000	S  6	Stimulus	146.000000	53.000000
107.000000	213001.000000	1.000000	0.000000		154.000000	S  1	Stimulus	154.000000	54.000000
108.000000	213711.000000	1.000000	0.000000		155.000000	S  6	Stimulus	155.000000	54.000000
109.000000	217001.000000	1.000000	0.000000		156.000000	S  2	Stimulus	156.000000	55.000000
110.000000	217743.000000	1.000000	0.000000		157.000000	S  6	Stimulus	157.000000	55.000000
111.000000	221001.000000	1.000000	0.000000		158.000000	S  2	Stimulus	158.000000	56.000000
112.000000	221683.000000	1.000000	0.000000		159.000000	S  6	Stimulus	159.000000	56.000000
113.000000	225001.000000	1.000000	0.000000		162.000000	S  2	Stimulus	162.000000	57.000000
114.000000	225744.000000	1.000000	0.000000		163.000000	S  6	Stimulus	163.000000	57.000000
115.000000	229001.000000	1.000000	0.000000		164.000000	S  1	Stimulus	164.000000	58.000000
116.000000	229751.000000	1.000000	0.000000		165.000000	S  4	Stimulus	165.000000	58.000000
117.000000	233001.000000	1.000000	0.000000		170.000000	S  2	Stimulus	170.000000	59.000000
118.000000	233607.000000	1.000000	0.000000		171.000000	S  6	Stimulus	171.000000	59.000000
